sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jun 18, 2024 16:03:17

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
    +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_32d04aeed835495e81d0eaddcc997863(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
    +genblk7.wr2rd_addr_sync:efx_fifo_datasync_32d04aeed835495e81d0eaddcc997863(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
 +ws_bram:bram                                              	       2(2)	       0(0)	       2(2)	     1(1)	     0(0)	
 +wsctrl:WS2812_config_ctrl                                 	     71(71)	       0(0)	   175(175)	     0(0)	     0(0)	
 +data_ctrl:ws2812_data_ctrl                                	     32(32)	       0(0)	   100(100)	     0(0)	     0(0)	
 +WS2812_Interface:WS2812_Interface                         	   129(129)	       0(0)	   351(351)	     0(0)	     0(0)	
